Day,Mutual Fund NAV
1,10.0
2,10.002148538214914
3,10.04739282488107
4,10.084923909365545
5,9.988208237818792
6,9.960187206885875
7,9.934984705218868
8,9.899931916822382
9,9.886294454257191
10,9.952950329333694
11,9.983399004273075
12,9.968422847998575
13,10.00452054488432
14,9.850186097744189
15,9.954052160579097
16,9.99292271256039
17,10.000024161863463
18,10.057213156776733
19,10.190294899566851
20,10.14383691539114
21,10.152030502182406
22,10.101268082617647
23,10.115365396713456
24,10.13001924509199
25,10.163786483320669
26,10.192155089150678
27,10.259706517378003
28,10.315308285512828
29,10.181942177466476
30,10.126650380250846
31,10.232587800577686
32,10.201837540702174
33,10.106901315290122
34,10.173870968079617
35,10.222547956169544
36,10.284042354764114
37,10.352396995865456
38,10.372730508940212
39,10.465323830733377
40,10.561024040165584
41,10.545593024190472
42,10.557260954773785
43,10.593401992055874
44,10.701897228341894
45,10.711753587705191
46,10.680002594152922
47,10.701126629636718
48,10.80906503105333
49,10.876615574130827
50,10.990341256150304
51,10.999409144845357
52,11.00148032437178
53,10.978470864244239
54,10.95020465197446
55,10.94175645565247
56,11.031397231619962
57,11.00905980696677
58,11.002787437564775
59,10.95635771028268
60,10.915501184005578
61,10.991267833490774
62,10.993027573424651
63,10.988134160593088
64,10.905670873636225
65,10.88296006671567
66,10.823973249793003
67,10.844528353171986
68,10.84054114150065
69,10.879804676630581
70,10.920708838317239
71,10.92727201717315
72,10.859968728124445
73,10.884251856464484
74,10.876370600063039
75,10.824043330101217
76,10.811325713458292
77,10.750737738965421
78,10.691902673437868
79,10.706108567444275
80,10.693775253322539
81,10.640886164431967
82,10.57188711115527
83,10.63752574855458
84,10.632834347889519
85,10.739723964892235
86,10.706493112258176
87,10.60270614728633
88,10.555882337337499
89,10.59759619379934
90,10.614356045940267
91,10.564268715976276
92,10.600991974972569
93,10.626745574361566
94,10.557410444065338
95,10.541510605163502
96,10.5438176163234
97,10.509247582089001
98,10.536864188776805
99,10.544294155973228
100,10.562570352385558
101,10.625314037212934
102,10.633056940948155
103,10.673904626826584
104,10.625158447699757
105,10.6172986353853
106,10.609002656482375
107,10.680812582963963
108,10.736302338304432
109,10.71422410456285
110,10.680740661664725
111,10.781252418317147
112,10.71752005483849
113,10.733918602599724
114,10.802674960435025
115,10.862008088459413
116,10.885319849059965
117,10.929002374207172
118,10.940491748366648
119,10.973416484599463
120,10.964453359415238
121,10.869337315112483
122,10.86281516203683
123,10.928149256772784
124,11.101433642276627
125,11.053622325822143
126,11.085682242964976
127,11.015483847846324
128,10.929273414277546
129,10.97857384138634
130,10.981287351959386
131,10.9387999169251
132,10.97209830956057
133,10.977636524769254
134,11.017326032135637
135,11.013350155475248
136,11.043181907707623
137,11.0162962739483
138,10.932141877784156
139,10.947582662686804
140,10.870598038952767
141,10.835121340473469
142,10.846915869452607
143,10.876372053675876
144,10.811213873670026
145,10.89115648604683
146,10.951964941738188
147,10.974046555568512
148,11.002389494563948
149,11.032756669667977
150,11.043950666238267
151,11.082183809601418
152,11.031926525252299
153,11.122254089870939
154,11.11059430727349
155,11.051876097329252
156,11.066952910197001
157,11.110041866441861
158,11.166621468472814
159,11.199917633371184
160,11.11105768280324
161,11.121398642394952
162,11.130565423186034
163,11.268077506253
164,11.247999134305768
165,11.201549098731919
166,11.213677598746608
167,11.182266026646479
168,11.273239555898149
169,11.235369790653596
170,11.219887792324688
171,11.264155668225106
172,11.286856292787663
173,11.396988117126536
174,11.341418783121975
175,11.243517593639428
176,11.244289799652543
177,11.261053448569283
178,11.273058608031928
179,11.285079565756934
180,11.288012156564985
181,11.389708497653652
182,11.397461711898284
183,11.454711038713912
184,11.44695504863685
185,11.422098907897404
186,11.466606165188164
187,11.447811875523659
188,11.508292472817605
189,11.44356030459113
190,11.397983442972103
191,11.452368110247281
192,11.492565471744513
193,11.454306392908077
194,11.492935576564307
195,11.548725262867514
196,11.496827811862342
197,11.541478515128022
198,11.488297511555999
199,11.473357559386411
200,11.465297573657889
201,11.52050750557929
202,11.471767384464604
203,11.466100409003971
204,11.373154237667924
205,11.455419802277108
206,11.444469914203038
207,11.467221964785221
208,11.468975104924231
209,11.468332212930306
210,11.410328630598498
211,11.368643693265648
212,11.374909165252292
213,11.344890281155516
214,11.317015360212684
215,11.285635984039533
216,11.310727991077783
217,11.238746060668669
218,11.280702982962367
219,11.352650883327533
220,11.26466191978121
221,11.296355618951106
222,11.304180648418775
223,11.24259910442786
224,11.400736178410387
225,11.482364958020847
226,11.42260350005159
227,11.440740360870738
228,11.475147432656755
229,11.395742921439382
230,11.382924523886743
231,11.375980957739847
232,11.402796092086787
233,11.41958152166385
234,11.377462729431441
235,11.361232961405392
236,11.387532067508214
237,11.31968388627085
238,11.409732077981806
239,11.39395192894991
240,11.514097747627927
241,11.490375937781854
242,11.507503544786912
243,11.640313358220663
244,11.644943740552598
245,11.57998439119895
246,11.617564427039255
247,11.67177007771571
248,11.694933817238299
249,11.835215671864862
250,11.784895583351982
251,11.763898053652127
252,11.766288039539047
